"date","predicted_cases","lower_80","upper_80","lower_95","upper_95"
2025-06-28,-0.00953192252662046,-1134.98316317533,1134.96409933028,-1735.80191083694,1735.78284699188
2025-06-29,-0.00944954380011659,-1141.63577668369,1141.61687759609,-1745.97624881657,1745.95734972897
2025-06-30,-0.0093495015473042,-1148.28339924275,1148.26470023966,-1756.14296314848,1756.12426414538
2025-07-01,-0.00928191334766289,-1154.94925901483,1154.93069518814,-1766.33755171066,1766.31898788396
2025-07-02,-0.00930750307182606,-1161.60512176333,1161.58650675719,-1776.51680181923,1776.49818681309
2025-07-03,-0.00939395767274745,-1168.21252164815,1168.19373373281,-1786.62190215386,1786.60311423851
2025-07-04,-0.00947392708268681,-1174.74100971913,1174.72206186496,-1796.60632071679,1796.58737286262
2025-07-05,-0.00949633163607847,-1181.1953401822,1181.17634751893,-1806.4773554785,1806.45836281523
2025-07-06,-0.0094494972428443,-1187.60255402757,1187.58365503308,-1816.2763682446,1816.25746925012
2025-07-07,-0.00936835042031325,-1194.00033479776,1193.98159809692,-1826.06097253108,1826.04223583024
2025-07-08,-0.00932324044052104,-1200.39756180761,1200.37891532673,-1835.84471083745,1835.82606435657
2025-07-09,-0.00932998677917902,-1206.78601075342,1206.76735077986,-1845.61499680229,1845.59633682873
2025-07-10,-0.00938254643560208,-1213.13803742259,1213.11927232972,-1855.3295554498,1855.31079035693
2025-07-11,-0.00944257672920284,-1219.43341251164,1219.41452735818,-1864.95746902748,1864.93858387402
2025-07-12,-0.00946715804040969,-1225.66832574959,1225.64939143351,-1874.49293294903,1874.47399863295
2025-07-13,-0.00944443801721622,-1231.86011432506,1231.84122544902,-1883.96246843057,1883.94357955453
2025-07-14,-0.00939660988496358,-1238.02863249609,1238.00983927632,-1893.39642819111,1893.37763497134
2025-07-15,-0.00935125910696302,-1244.19069227542,1244.1719897572,-1902.82050938246,1902.80180686424
2025-07-16,-0.00934565799583738,-1250.34120035642,1250.32250904042,-1912.22690273357,1912.20821141758
2025-07-17,-0.00937751440526046,-1256.46490823772,1256.44615320891,-1921.59228888744,1921.57353385863
2025-07-18,-0.00942051981309902,-1262.54481121808,1262.52597017845,-1930.89067532461,1930.87183428498
2025-07-19,-0.00944537150025404,-1268.57660098968,1268.55771024668,-1940.11548856881,1940.09659782581
2025-07-20,-0.00943621168008267,-1274.56832937237,1274.54945694901,-1949.27905121044,1949.26017878708
2025-07-21,-0.00940124292182343,-1280.53688975277,1280.51808726693,-1958.40719511265,1958.3883926268
2025-07-22,-0.00937115892060132,-1286.49134089726,1286.47259857942,-1967.51375821477,1967.49501589693
2025-07-23,-0.0093616829261934,-1292.43283361458,1292.41411024873,-1976.60049220353,1976.58176883768
2025-07-24,-0.00937856031335356,-1298.3514591053,1298.33270198467,-1985.65223983651,1985.63348271588
2025-07-25,-0.00940842796606382,-1304.2363309567,1304.21751410076,-1994.65235885621,1994.63354200028
2025-07-26,-0.0094292134748131,-1310.08182898357,1310.06297055662,-2003.59226561554,2003.57340718859
2025-07-27,-0.00942822034349754,-1315.89234120435,1315.87348476366,-2012.47867773066,2012.45982128997
2025-07-28,-0.00940906709130613,-1321.67671406861,1321.65789593443,-2021.32512276315,2021.30630462897
2025-07-29,-0.00938378415811844,-1327.44476809836,1327.42600053004,-2030.14661353683,2030.12784596852
2025-07-30,-0.00937264181699475,-1333.19792697546,1333.17918169183,-2038.94531665477,2038.92657137114
2025-07-31,-0.00938098239200485,-1338.9313709768,1338.91260901202,-2047.71385815851,2047.69509619373
2025-08-01,-0.00940085057731693,-1344.63700628052,1344.61820457936,-2056.43986382698,2056.42106212583
2025-08-02,-0.00941800318624453,-1350.31036181524,1350.29152580886,-2065.11650328648,2065.09766728011
2025-08-03,-0.00942078686080161,-1355.95267753676,1355.93383596304,-2073.7456790547,2073.72683748098
2025-08-04,-0.00940822585575038,-1361.57070236581,1361.55188591409,-2082.33771323168,2082.31889677997
2025-08-05,-0.00939200280395168,-1367.17013503505,1367.15135102944,-2090.90131509254,2090.88253108694
2025-08-06,-0.00938190723491001,-1372.75381545625,1372.73505164178,-2099.44082272526,2099.42205891079
2025-08-07,-0.00938467977833021,-1378.31908871095,1378.30031935139,-2107.95217221418,2107.93340285462
2025-08-08,-0.00939742461036494,-1383.8610493411,1383.84225449188,-2116.42786284155,2116.40906799233
2025-08-09,-0.00941031966550163,-1389.37575959135,1389.35693895201,-2124.86187752975,2124.84305689042
2025-08-10,-0.00941479929616208,-1394.86343494525,1394.84460534666,-2133.25455036683,2133.23572076824
2025-08-11,-0.0094089572246585,-1400.32741641671,1400.30859850227,-2141.61099200174,2141.59217408729
2025-08-12,-0.00939674365520532,-1405.7727198857,1405.75392639839,-2149.93887146978,2149.92007798247
2025-08-13,-0.00938800729306596,-1411.2016287669,1411.18285275231,-2158.24167573879,2158.2228997242
2025-08-14,-0.00938801887621811,-1416.61331775793,1416.59454172018,-2166.51813982752,2166.49936378977
2025-08-15,-0.00939576515006002,-1422.00448805237,1421.98569652207,-2174.76321918332,2174.74442765302
2025-08-16,-0.00940536996495581,-1427.37232139142,1427.35351065149,-2182.97260676192,2182.95379602199
2025-08-17,-0.00941003261903767,-1432.71622402334,1432.6974039581,-2191.1453980985,2191.12657803326
2025-08-18,-0.00940689295163536,-1438.0385151383,1438.0197013524,-2199.28514160239,2199.26632781649
2025-08-19,-0.00939946588619162,-1443.34213254624,1443.32333361447,-2207.39632840551,2207.37752947373
2025-08-20,-0.00939262054663299,-1448.62934364998,1448.61055840889,-2215.48242362365,2215.46363838255
2025-08-21,-0.00939112454505491,-1453.90000379945,1453.88122155036,-2223.5432035098,2223.52442126071
2025-08-22,-0.00939555790703893,-1459.15229184505,1459.13350072924,-2231.57588254897,2231.55709143316
2025-08-23,-0.00940225749690802,-1464.38407264964,1464.36526813464,-2239.57719726981,2239.55839275482
2025-08-24,-0.00940653172625588,-1469.59466900776,1469.57585594431,-2247.54611445956,2247.52730139611
2025-08-25,-0.00940583639131408,-1474.78508220334,1474.76627053055,-2255.48416679661,2255.46535512383
2025-08-26,-0.00940074869280182,-1479.95761425636,1479.93881275898,-2263.39487461122,2263.37607311383
2025-08-27,-0.00939550085257736,-1485.11394715091,1485.0951561492,-2271.2808080356,2271.2620170339
2025-08-28,-0.00939354886888227,-1490.25445379034,1490.2356666926,-2279.14253554678,2279.12374844904
2025-08-29,-0.00939583665583405,-1495.37806302895,1495.35927135564,-2286.97841846906,2286.95962679575
2025-08-30,-0.00940044727932162,-1500.48336634101,1500.46456544645,-2294.786303663,2294.76750276844
2025-08-31,-0.00940398792904838,-1505.56963179352,1505.55082381766,-2302.56507352972,2302.54626555386
2025-09-01,-0.00940409556757191,-1510.63747851411,1510.61867032297,-2310.31567619414,2310.296868003
2025-09-02,-0.00940126657594127,-1515.68823144624,1515.66942891309,-2318.04013771965,2318.0213351865
2025-09-03,-0.00939748764158165,-1520.72328568955,1520.70449071427,-2325.74059067535,2325.72179570006
2025-09-04,-0.00939548176013171,-1525.74311954411,1525.72432858059,-2333.41776511658,2333.39897415306
2025-09-05,-0.00939646789017111,-1530.74726537679,1530.72847244101,-2341.07094521493,2341.05215227914
2025-09-06,-0.0093994553554342,-1535.73476873301,1535.71596982229,-2348.69867178251,2348.67987287179
2025-09-07,-0.00940225003412115,-1540.70504871543,1540.68624421536,-2356.300057575,2356.28125307493
2025-09-08,-0.00940302012468512,-1545.65828004678,1545.63947400653,-2363.87537077747,2363.85656473722
2025-09-09,-0.00940130005067971,-1550.59542306596,1550.57662046585,-2371.42608034795,2371.40727774785
2025-09-10,-0.00939863181070148,-1555.51746774793,1555.49867048431,-2378.95369950625,2378.93490224263
2025-09-11,-0.00939687295721598,-1560.42495414596,1560.40616040005,-2386.4590532092,2386.44025946328
2025-09-12,-0.00939710512035951,-1565.31770240772,1565.29890819748,-2393.94186582383,2393.92307161359
2025-09-13,-0.00939899397411886,-1570.19514614317,1570.17634815522,-2401.40127130832,2401.38247332037
2025-09-14,-0.00940108199504554,-1575.05681828165,1575.03801611766,-2408.8365561113,2408.81775394731
2025-09-15,-0.00940190930337119,-1579.90279852704,1579.88399470843,-2416.24784290214,2416.22903908353
2025-09-16,-0.00940112601873726,-1584.73362396157,1584.71482170954,-2423.63595326246,2423.61715101042
2025-09-17,-0.00939933932998472,-1589.55004873265,1589.53125005399,-2431.00204023974,2430.98324156108
2025-09-18,-0.00939788403212717,-1594.35254920203,1594.33375343396,-2438.34683165982,2438.32803589175
2025-09-19,-0.00939772613756459,-1599.14115163333,1599.12235618105,-2445.67036717808,2445.6515717258
2025-09-20,-0.00939883445827995,-1603.91552608215,1603.89672841323,-2452.97214220461,2452.95334453569
2025-09-21,-0.00940034374494366,-1608.67535347059,1608.6565527831,-2460.2516692099,2460.23286852241
2025-09-22,-0.00940120817205411,-1613.42059789202,1613.40179547568,-2467.50889383312,2467.49009141678
2025-09-23,-0.00940085219223204,-1618.15162968595,1618.13282798157,-2474.74438276437,2474.72558105998
2025-09-24,-0.00939968615753162,-1622.86897032926,1622.85017095695,-2481.95893331647,2481.94013394416
2025-09-25,-0.00939856331229371,-1627.57303901784,1627.55424189122,-2489.15318614254,2489.13438901591
2025-09-26,-0.00939823229986828,-1632.26394235902,1632.24514589442,-2496.3273038881,2496.3085074235
2025-09-27,-0.0093988464977989,-1636.9415282464,1636.92273055341,-2503.48105384532,2503.46225615232
2025-09-28,-0.00939989137242483,-1641.60558180923,1641.58678202649,-2510.6141076701,2510.59530788735
2025-09-29,-0.00940060723625281,-1646.25607132628,1646.2372701118,-2517.72641725115,2517.70761603668
2025-09-30,-0.0094005739072655,-1650.89320104763,1650.87439989982,-2524.81829518448,2524.79949403666
2025-10-01,-0.00939985702750227,-1655.51735187887,1655.49855216482,-2531.89032398013,2531.87152426608
2025-10-02,-0.00939901896679797,-1660.12886066674,1660.1100626288,-2538.94301850305,2538.92422046512
2025-10-03,-0.00939864403211785,-1664.72788148745,1664.70908419939,-2545.97661408318,2545.95781679511
2025-10-04,-0.00939893670764821,-1669.31436421105,1669.29556633763,-2552.99103394508,2552.97223607167
2025-10-05,-0.00939963690503658,-1673.88818787945,1673.86938860564,-2559.98609323704,2559.96729396323
2025-10-06,-0.00940023630403712,-1678.44930994275,1678.43050947014,-2566.96172715366,2566.94292668105
2025-10-07,-0.00940031888190241,-1682.99787187852,1682.97907124076,-2573.91815228646,2573.8993516487
2025-10-08,-0.0093998978848685,-1687.53413639527,1687.5153365995,-2580.85577040643,2580.83697061066
2025-10-09,-0.0093993018601284,-1692.05837650629,1692.03957790256,-2587.77499887741,2587.75620027369
2025-10-10,-0.00939894881228561,-1696.57074984718,1696.55195194956,-2594.67607856101,2594.65728066339
2025-10-11,-0.00939905660499295,-1701.07127466023,1701.05247654702,-2601.55903724105,2601.54023912784
2025-10-12,-0.0093995048747901,-1705.55989221082,1705.54109320107,-2608.42378515439,2608.40498614464
2025-10-13,-0.00939995298243983,-1710.03658434337,1710.0177844374,-2615.27029471481,2615.25149480884
2025-10-14,-0.00940010954068211,-1714.5014352813,1714.48263506222,-2622.09869488515,2622.07989466607
2025-10-15,-0.00939988572739174,-1718.95463641998,1718.93583664852,-2628.9092784264,2628.89047865495
2025-10-16,-0.00939947407723863,-1723.39640045032,1723.37760150216,-2635.70237051932,2635.68357157116
2025-10-17,-0.0093991736142564,-1727.82688009819,1727.80808175096,-2642.47820457966,2642.45940623243
2025-10-18,-0.00939917543892253,-1732.24612793861,1732.22732958774,-2649.23686091283,2649.21806256195
2025-10-19,-0.00939945003530624,-1736.65413287082,1736.63533397075,-2655.97832255728,2655.95952365721
2025-10-20,-0.00939978687818262,-1741.05088890481,1741.03208933105,-2662.70258046355,2662.6837808898
2025-10-21,-0.00939994426843747,-1745.43646195271,1745.41766206417,-2669.40973556349,2669.39093567495
2025-10-22,-0.00939984010225949,-1749.81098883126,1749.79218915106,-2676.09999714371,2676.08119746351
2025-10-23,-0.00939956833634981,-1754.17463790607,1754.15583876939,-2682.77362264744,2682.75482351077
2025-10-24,-0.00939932840611872,-1758.52754515648,1758.50874649966,-2689.43081993157,2689.41202127476
2025-10-25,-0.00939928066115532,-1762.8697821987,1762.85098363738,-2696.07169843876,2696.05289987744
2025-10-26,-0.00939943779464245,-1767.20136703387,1767.18256815828,-2702.69628569266,2702.67748681707
2025-10-27,-0.00939967193716896,-1771.52231301291,1771.50351366904,-2709.30460217942,2709.28580283554
2025-10-28,-0.00939982147265916,-1775.83266971866,1775.81387007572,-2715.896723815,2715.87792417206
2025-10-29,-0.00939978916039109,-1780.13254150873,1780.11374193041,-2722.47281025208,2722.45401067376
2025-10-30,-0.00939961607176072,-1784.42206039497,1784.40326116282,-2729.03306336361,2729.01426413147
2025-10-31,-0.00939943391098251,-1788.70134634784,1788.68254748002,-2735.57766655888,2735.55886769106
2025-11-01,-0.00939936638773062,-1792.97047666297,1792.9516779302,-2742.10673798584,2742.08793925306
2025-11-02,-0.00939944851000802,-1797.2294887341,1797.21068983708,-2748.62033481474,2748.60153591772
2025-11-03,-0.0093996108124479,-1801.47840667414,1801.45960745252,-2755.11849395992,2755.09969473829
2025-11-04,-0.00939973272181463,-1805.7172769519,1805.69847748646,-2761.60128655305,2761.58248708761
2025-11-05,-0.00939973820348071,-1809.94618050773,1809.92738103133,-2768.06883642202,2768.05003694561
2025-11-06,-0.00939963411760776,-1814.16522344079,1814.14642417255,-2774.52130582782,2774.50250655958
2025-11-07,-0.00939950130390323,-1818.37450870912,1818.35570970651,-2780.9588521884,2780.9400531858
2025-11-08,-0.00939943289645003,-1822.57411382123,1822.55531495544,-2787.38159399353,2787.36279512773
2025-11-09,-0.0093994686179346,-1826.76408625555,1826.74528731831,-2793.78960383413,2793.77080489689
2025-11-10,-0.00939957356240101,-1830.94446047463,1830.92566132751,-2800.18293443462,2800.16413528749
2025-11-11,-0.0093996715531815,-1835.11527947411,1835.09648013101,-2806.56165159148,2806.54285224837
2025-11-12,-0.00939969531025721,-1839.27661037619,1839.25781098557,-2812.92585799486,2812.90705860424
2025-11-13,-0.00939963652427137,-1843.42853941102,1843.40974013797,-2819.27568552682,2819.25688625377
2025-11-14,-0.00939954335135507,-1847.57115543186,1847.55235634515,-2825.61127005117,2825.59247096447
2025-11-15,-0.00939948206133081,-1851.70453193951,1851.68573297538,-2831.93272394263,2831.91392497851
2025-11-16,-0.00939949123496458,-1855.82872157498,1855.80992259251,-2838.24012768825,2838.22132870578
2025-11-17,-0.00939955806277,-1859.94376399127,1859.92496487515,-2844.53354193883,2844.51474282271
2025-11-18,-0.00939963059031164,-1864.04970244843,1864.03090318725,-2850.81303288241,2850.79423362123
2025-11-19,-0.00939966009628082,-1868.14659430379,1868.1277949836,-2857.07868826525,2857.05988894506
2025-11-20,-0.00939963049694816,-1872.23451178207,1872.21571252107,-2863.33061855404,2863.31181929305
2025-11-21,-0.00939956748333742,-1876.31353131205,1876.29473217708,-2869.56894062292,2869.55014148796
2025-11-22,-0.00939951714611316,-1880.38372122268,1880.36492218839,-2875.79375894761,2875.77495991332
2025-11-23,-0.00939951222736146,-1884.4451352985,1884.42633627405,-2882.00515576711,2881.98635674265
2025-11-24,-0.0093995514199839,-1888.49781689236,1888.47901778952,-2888.20319738458,2888.18439828174
2025-11-25,-0.00939960448617677,-1892.54180852819,1892.52300931921,-2894.38794885077,2894.3691496418
2025-11-26,-0.00939963352832237,-1896.57716158998,1896.55836232292,-2900.55948877078,2900.54068950372
2025-11-27,-0.00939962141780005,-1900.6039378299,1900.58513858707,-2906.71791159547,2906.69911235263
2025-11-28,-0.00939958048270993,-1904.62220383393,1904.60340467297,-2912.86331915278,2912.84451999181
2025-11-29,-0.00939954119651725,-1908.63202205973,1908.61322297734,-2918.99580694731,2918.97700786491
2025-11-30,-0.00939953007993338,-1912.63344545778,1912.61464639762,-2925.11545594581,2925.09665688565
2025-12-01,-0.00939955201862044,-1916.62651839245,1916.60771928842,-2931.22233399515,2931.20353489111
2025-12-02,-0.0093995885253276,-1920.61128333797,1920.59248416092,-2937.31650606383,2937.29770688677
2025-12-03,-0.00939961380442231,-1924.58778725146,1924.56898802386,-2943.39804398022,2943.37924475261
2025-12-04,-0.0093996117154886,-1928.55608438443,1928.537285161,-2949.46703072339,2949.44823149996
2025-12-05,-0.0093995862988035,-1932.51623320508,1932.49743403248,-2955.52355571061,2955.50475653801
2025-12-06,-0.00939955710637119,-1936.46829062843,1936.44949151422,-2961.56770597555,2961.54890686134
2025-12-07,-0.00939954424039567,-1940.41230737455,1940.39350828607,-2967.59955907719,2967.58075998871
2025-12-08,-0.00939955474601692,-1944.34832782152,1944.32952871202,-2973.61918288223,2973.60038377274
2025-12-09,-0.00939957945337734,-1948.27639355877,1948.25759439986,-2979.62664100108,2979.60784184218
2025-12-10,-0.00939960001330139,-1952.1965484625,1952.17774926248,-2985.62200054631,2985.60320134628
2025-12-11,-0.00939960297608916,-1956.1088410894,1956.09004188344,-2991.60533578606,2991.58653658011
2025-12-12,-0.00939958809340976,-1960.01332352587,1959.99452434969,-2997.57672637978,2997.5579272036
2025-12-13,-0.00939956716534444,-1963.91004752721,1963.89124839288,-3003.53625147409,3003.51745233975
2025-12-14,-0.00939955498698441,-1967.79906105357,1967.78026194359,-3009.48398440988,3009.46518529991
2025-12-15,-0.00939955899374983,-1971.68040730565,1971.66160818766,-3015.41999125301,3015.40119213502
2025-12-16,-0.00939957474094813,-1975.55412692872,1975.53532777924,-3021.34433416739,3021.32553501791
2025-12-17,-0.00939959054610747,-1979.42026121825,1979.40146203716,-3027.25707631516,3027.23827713407
2025-12-18,-0.00939959565362312,-1983.27885443674,1983.26005524543,-3033.1582853957,3033.13948620439
2025-12-19,-0.0093995876307946,-1987.12995348107,1987.11115430581,-3039.04803313287,3039.02923395761
2025-12-20,-0.00939957321715015,-1990.9736055841,1990.95480643767,-3044.92639175952,3044.90759261309
2025-12-21,-0.00939956278672216,-1994.80985567743,1994.79105655185,-3050.79342998712,3050.77463086154
2025-12-22,-0.00939956298842853,-1998.63874535981,1998.61994623383,-3056.64921143195,3056.63041230597
2025-12-23,-0.00939957273228846,-2002.460313849,2002.44151470354,-3062.49379607297,3062.47499692751
2025-12-24,-0.00939958440031836,-2006.27460029244,2006.25580112364,-3068.32724378505,3068.30844461625
2025-12-25,-0.00939958992667055,-2010.08164551397,2010.06284633412,-3074.14961700716,3074.1308178273
2025-12-26,-0.00939958618244549,-2013.88149225026,2013.8626930779,-3079.96098110102,3079.94218192865
2025-12-27,-0.00939957660113231,-2017.67418376149,2017.65538460829,-3085.76140222557,3085.74260307236
2025-12-28,-0.00939956825478729,-2021.45976200308,2021.44096286657,-3091.55094454233,3091.53214540582
2025-12-29,-0.00939956669232633,-2025.23826656858,2025.2194674352,-3097.32966860148,3097.3108694681
2025-12-30,-0.00939957225341134,-2029.00973514069,2028.99093599619,-3103.09763203357,3103.07883288906
2025-12-31,-0.0093995805234333,-2032.77420486528,2032.75540570423,-3108.85489165061,3108.83609248957
